id,name,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
761,Medacoin,0.0007099587056468055,1542036.72342884,46.6802,-2.50461149,-0.63887908,3.91938965,81.97783773,51.70568114,131.85338267,32019449.397818103,0.0012,70995870.56,2021-11-24T05:02:08.000Z
762,Locus Chain,0.03626711999839154,199865.18291675,-14.7923,-0.00691208,3.9948541,2.73491445,-6.28662671,-6.28662671,-6.28662671,31908111.769647013,0.0012,253869839.99,2021-11-24T05:03:34.000Z
763,Unisocks,105635.95636344703,36.12815219,-99.9851,1.08822173,1.97770621,-8.39644848,13.41189731,30.46845519,-15.63546461,31902058.821761,0.0012,33275326.25,2021-11-24T05:03:37.000Z
764,Venus USDT,0.02136168922006414,0.0,0.0,0.00071342,-0.00585374,0.1801942,0.84715757,1.30803503,1.86010893,31746742.12959146,0.0012,31746742.13,2021-11-24T05:03:33.000Z
765,DxChain Token,0.000633335032631652,41935.31941996,5.0353,0.15264978,0.70014272,-2.94877156,-5.51742883,-13.46241518,-33.75930148,31666751.631383855,0.0012,63333503.26,2021-11-24T05:04:03.000Z
766,Stratos,2.106885222853155,2935947.0377683,6.5416,0.28923281,-6.1959609,8.87562599,45.22881448,32.12214198,84.41268303,31624280.35300621,0.0012,210688522.29,2021-11-24T05:02:07.000Z
767,Thorstarter,0.39181898525007997,3547879.24708909,-51.733,-0.90705951,-5.69758681,6.86278771,-18.10384585,43.89077,-0.579113,31615659.986663006,0.0012,391818985.25,2021-11-24T05:04:03.000Z
768,Shopping,34.487192360688695,322116.286316,-37.4975,0.39227673,0.38395928,-7.36318056,-23.841128,-14.66676417,-53.01408869,31601046.657265663,0.0012,34487192.36,2021-11-24T05:03:37.000Z
769,#MetaHash,0.010787925436420553,974992.96867239,-19.539,0.32879281,-1.4386073,-2.60191703,-19.60842611,0.60049013,-16.56941124,31530823.098610245,0.0012,99248914.02,2021-11-24T05:03:33.000Z
770,Dexlab,0.5995939548067065,298517.27248644,-67.3886,-0.3214703,5.03363323,-2.15539878,103.72733686,12.94364746,356.92667462,31494743.105192024,0.0012,599593954.81,2021-11-24T05:03:37.000Z
771,Epic Cash,2.3758716169089893,36863.31011511,78.9596,7.23033852,4.51691411,1.35559425,63.39321414,613.53537677,665.79400776,31479329.568424407,0.0012,49893303.96,2021-11-24T05:04:05.000Z
772,AnRKey X,0.28444610739534604,1128778.28145574,44.8978,0.6167459,13.65723073,235.58104068,337.84525407,269.07319143,83.28136641,31362171.79702917,0.0012,56889221.48,2021-11-24T05:03:36.000Z
773,Santiment Network Token,0.4950801247539292,40677.65617598,305.8534,0.07337022,4.84856498,6.64860686,-6.03596094,154.69202337,101.90637185,31335392.9661441,0.0012,41258492.36,2021-11-24T05:03:34.000Z
774,TokenClub,0.03830828100458782,11392475.25122099,-44.2235,5.72124608,1.63889377,19.67152192,8.96103291,34.00541256,21.49490947,31332430.355235,0.0012,38125914.43,2021-11-24T05:04:05.000Z
775,1irstcoin,0.7932116925369423,42820.3906822,-2.9219,0.9848561,4.91897216,2.22946052,-15.3063986,160.36880518,145.56486918,31280501.388831325,0.0012,79321169.25,2021-11-24T05:03:34.000Z
